word,word,sig
nicht,ist nicht,138.35
ist nicht,nicht,138.35
ein,neues,138.3
neues,ein,138.3
finden,nicht gut,138.2
nicht gut,finden,138.2
er,dass,137.81
dass,er,137.81
auf,Welt,137.5
Welt,auf,137.5
2. Weltkrieg,2.,137.45
2.,2. Weltkrieg,137.45
Euro,Milliarden,137.08
Milliarden,Euro,137.08
gefreut,sich,136.78
sich,gefreut,136.78
sich,geeinigt,136.78
geeinigt,sich,136.78
CDU,zusammen,136.74
zusammen,CDU,136.74
der,Champions,136.68
Champions,der,136.68
andere,viele andere,136.53
viele andere,andere,136.53
gegen das,gegen,136.44
gegen,gegen das,136.44
Tage lang,lang,136.28
lang,Tage lang,136.28
dass,wollen,136.18
wollen,dass,136.18
Thatcher,Margaret Thatcher,135.36
Richard,Richard Wagner,135.36
Thatcher,Margaret,135.36
Markus,Lanz,135.36
Mark Webber,Webber,135.36
Webber,Mark Webber,135.36
Richard Wagner,Richard,135.36
Margaret Thatcher,Thatcher,135.36
Margaret,Thatcher,135.36
Markus Lanz,Markus,135.36
Lanz,Markus,135.36
Markus,Markus Lanz,135.36
zu viel,viel,135.18
viel,zu viel,135.18
Die Soldaten,Soldaten,135.16
Soldaten,Die Soldaten,135.16
Gauck,Joachim,134.81
Joachim,Gauck,134.81
Woche,dieser,134.73
dieser,Woche,134.73
Fußball-Verein,Bayern,134.66
Bayern,Fußball-Verein,134.66
gewonnen,zu 1,134.51
zu 1,gewonnen,134.51
Main,Frankfurt am Main,134.2
Josefa Idem,Idem,134.2
Monty Python,Monty,134.2
Python,Monty,134.2
Josefa,Idem,134.2
Jonathan,Jonathan Meese,134.2
Kuhn,Paul Kuhn,134.2
Willy Brandt,Willy,134.2
Al,Dschasira,134.2
Monty,Python,134.2
Al Dschasira,Dschasira,134.2
Python,Monty Python,134.2
Idem,Josefa,134.2
Idem,Josefa Idem,134.2
Dschasira,Al Dschasira,134.2
Monty Python,Python,134.2
Al Dschasira,Al,134.2
Dschasira,Al,134.2
Paul Kuhn,Kuhn,134.2
Frankfurt am Main,Main,134.2
Al,Al Dschasira,134.2
Willy,Willy Brandt,134.2
Jonathan Meese,Jonathan,134.2
Josefa Idem,Josefa,134.2
Josefa,Josefa Idem,134.2
Monty,Monty Python,134.2
ein,berühmter,134.07
berühmter,ein,134.07
Der,heißt,133.56
heißt,Der,133.56
CSU,SPD,133.06
SPD,CSU,133.06
Am,Am Ende,133.01
Am Ende,Am,133.01
Große,Große Koalition,132.81
Große Koalition,Große,132.81
zu,zu wenig,132.53
zu wenig,zu,132.53
getroffen,sich,132.15
sich,getroffen,132.15
der,League,132.14
League,der,132.14
ist,alt,132.1
alt,ist,132.1
France,Tour,131.92
de France,Tour,131.92
Tour,de France,131.92
Tour,France,131.92
France,de,131.8
de,France,131.8
de,de France,131.8
de France,de,131.8
erst einmal,erst,131.52
erst,erst einmal,131.52
mit,1,131.4
1,mit,131.4
werden,soll,131.31
soll,werden,131.31
nicht,so,131.2
so,nicht,131.2
lange,schon,131.14
schon,lange,131.14
1,Formel 1,131.12
Formel 1,1,131.12
zusammen mit,zusammen,130.81
zusammen,zusammen mit,130.81
Toren,gewonnen,130.77
gewonnen,Toren,130.77
Osten,im Osten,130.61
im Osten,Osten,130.61
Die Partei,Die,130.58
Die,Die Partei,130.58
soll,geben,130.46
geben,soll,130.46
Formel,Sebastian Vettel,130.38
Sebastian Vettel,Formel,130.38
Olympischen,Winter-Spiele,129.96
Winter-Spiele,Olympischen,129.96
Präsident Assad,Assad,129.64
Assad,Präsident Assad,129.64
katholischen,Kirche,129.59
Kirche,katholischen,129.59
Welt,auf der ganzen Welt,129.16
auf der ganzen Welt,Welt,129.16
”,sagte,129.02
sagte,”,129.02
Grund,Der,128.97
Der,Grund,128.97
Mark,Webber,128.86
richtig,nicht,128.86
nicht,richtig,128.86
Webber,Mark,128.86
David,David Bowie,128.67
David Bowie,David,128.67
Große Koalition,Koalition,128.67
Koalition,Große Koalition,128.67
Bowie,David,128.67
David,Bowie,128.67
Kuhn,Paul,127.92
FC Bayern,FC Bayern München,127.92
Paul Kuhn,Paul,127.92
Willy,Brandt,127.92
Paul,Paul Kuhn,127.92
Brandt,Willy Brandt,127.92
Paul,Kuhn,127.92
FC Bayern München,FC Bayern,127.92
Willy Brandt,Brandt,127.92
Löw,Joachim Löw,127.92
Brandt,Willy,127.92
Joachim Löw,Löw,127.92
1,Toren,127.87
Toren,1,127.87
wollen,Wir,127.82
Wir,wollen,127.82
sie,haben,127.66
haben,sie,127.66
,,Weil,127.19
Weil,,,127.19
Sebastian,Formel,127.14
Formel,Sebastian,127.14
Der Sturm,Sturm,126.79
Sturm,Der Sturm,126.79
hat,geschrieben,126.07
geschrieben,hat,126.07
wollen,,,126.01
,,wollen,126.01
2.,Weltkrieg,125.69
Weltkrieg,2.,125.69
aller,aller Welt,125.35
in Rente,Rente,125.35
Richard Wagner,Wagner,125.35
aller Welt,aller,125.35
Wagner,Richard Wagner,125.35
Rente,in Rente,125.35
bekannt,bekannt geworden,125.33
bekannt geworden,bekannt,125.33
Der Prozess,Prozess,125.1
Prozess,Der Prozess,125.1
nicht,genug,124.91
genug,nicht,124.91
weiter regieren,regieren,124.83
regieren,weiter regieren,124.83
der,bei,124.64
bei,der,124.64
unter,anderem,124.45
anderem,unter,124.45
welche,,,124.35
,,welche,124.35
auf die Straße,gehen,124.3
gehen,auf die Straße,124.3
gut,sehr gut,124.23
sehr gut,gut,124.23
„,sagte,123.98
sagte,„,123.98
mit,zu 1,123.94
zu 1,mit,123.94
,,darüber,123.81
darüber,,,123.81
sagte,Spiel,123.67
Spiel,sagte,123.67
Bundestags-Wahl,September,123.38
September,Bundestags-Wahl,123.38
an den,den,123.31
den,an den,123.31
gibt,Es,122.15
Es,gibt,122.15
nicht frei,frei,122.09
frei,nicht frei,122.09
Das Gesetz,Gesetz,122.06
Gesetz,Das Gesetz,122.06
im,Fernsehen,121.8
Fernsehen,im,121.8
Regierung,die,121.67
die,Regierung,121.67
noch,immer,121.61
immer,noch,121.61
Kanzlerin,Kanzlerin Merkel,121.33
Kanzlerin Merkel,Kanzlerin,121.33
aus,dem,121.23
dem,aus,121.23
Jahre alt,ist,121.07
ist,Jahre alt,121.07
einmal,erst einmal,120.6
erst einmal,einmal,120.6
2,zu 2,120.3
zu 2,2,120.3
Barcelona,FC Barcelona,120.17
FC Barcelona,Barcelona,120.17
Ai Weiwei,Ai,119.3
Weiwei,Ai,119.3
Sigmar Gabriel,Sigmar,119.3
Horst Seehofer,Horst,119.3
Ursula,Ursula von der Leyen,119.3
Horst,Horst Seehofer,119.3
Sigmar,Sigmar Gabriel,119.3
Rafael Nadal,Rafael,119.3
Rafael,Rafael Nadal,119.3
Ai,Ai Weiwei,119.3
Ursula von der Leyen,Ursula,119.3
Weiwei,Ai Weiwei,119.3
Ai Weiwei,Weiwei,119.3
